Zeitstempel,Participant,What is your age?,What is your gender?,Do you suffer from claustrophobia?,"What is your profession (student, scientific staff, professor, lecturer, ...)?",How often have you been in virtual reality before this experiment?,How often do you visit real museums/exhibitions?,"When going to an exhibition or a museum, do you go alone or in company (several answers are possible)?"
2018/08/02 10:00:49 AM OEZ,1,50,Female,No,professor,More than 3 times,Less than once a year,Accompanied by one person
2018/08/02 11:34:35 AM OEZ,2,32,Male,No,student,More than 3 times,1-6 time a year,Accompanied by one person
2018/08/02 2:22:28 PM OEZ,3,56,Female,Yes,staff,1-2 times,1-6 time a year,Accompanied by one person;Accompanied by 6 people and more
2018/08/02 4:32:22 PM OEZ,4,26,Male,No,scientific staff,More than 3 times,1-6 time a year,Accompanied by one person;Accompanied by two to five people
2018/08/07 2:07:33 PM OEZ,5,56,Male,Yes,scientific staff,1-2 times,Less than once a year,Accompanied by one person
2018/08/08 2:49:04 PM OEZ,6,28,Male,No,scientific staff,More than 3 times,Less than once a year,Accompanied by two to five people
2018/08/09 4:02:51 PM OEZ,7,25,Female,No,student,More than 3 times,1-6 time a year,Accompanied by one person;Accompanied by two to five people
2018/08/13 2:15:20 PM OEZ,8,32,Female,No,student,More than 3 times,Less than once a year,Alone;Accompanied by one person
2018/08/13 4:56:45 PM OEZ,9,29,Male,No,Student,1-2 times,1-6 time a year,Accompanied by one person
2018/08/14 12:05:57 PM OEZ,10,34,Male,No,Student,1-2 times,1-6 time a year,Accompanied by one person;Accompanied by two to five people
2018/08/15 10:13:05 AM OEZ,11,31,Male,No,scientific staff,1-2 times,1-6 time a year,Alone;Accompanied by one person;Accompanied by two to five people
2018/08/15 1:39:23 PM OEZ,12,30,Female,No,scientific staff,More than 3 times,Less than once a year,Accompanied by one person;Accompanied by two to five people
2018/08/21 5:55:02 PM OEZ,13,26,Male,No,student,More than 3 times,1-6 time a year,Accompanied by two to five people
2018/08/22 11:04:02 AM OEZ,14,29,Male,No,scientific staff,Never,1-6 time a year,Accompanied by one person
2018/08/23 10:36:03 AM OEZ,15,26,Female,No,student,More than 3 times,More than 6 times a year,Accompanied by one person
2018/08/23 2:03:03 PM OEZ,16,24,Male,No,student,More than 3 times,Less than once a year,Accompanied by one person
2018/08/24 10:58:10 AM OEZ,17,23,Female,No,student,More than 3 times,More than 6 times a year,Alone;Accompanied by one person;Accompanied by two to five people;Accompanied by 6 people and more
2018/09/27 4:20:17 PM OEZ,18,22,Male,No,student,1-2 times,1-6 time a year,Accompanied by two to five people
2018/09/27 11:14:56 AM OEZ,19,23,Male,No,student,1-2 times,1-6 time a year,Accompanied by one person;Accompanied by two to five people
2018/10/04 12:23:22 PM OEZ,20,26,Male,No,student,Never,Less than once a year,Accompanied by one person;Accompanied by two to five people
2018/10/08 11:02:40 AM OEZ,21,28,Female,No,student,More than 3 times,1-6 time a year,Accompanied by one person
2018/10/09 2:37:33 PM OEZ,22,36,Male,No,scientific staff,More than 3 times,Less than once a year,Accompanied by one person;Accompanied by two to five people
2018/10/18 10:20:18 AM OEZ,23,29,Male,Yes,Student,More than 3 times,Less than once a year,Accompanied by two to five people
2018/10/18 11:59:35 AM OEZ,24,25,Male,No,Student,More than 3 times,1-6 time a year,Accompanied by one person;Accompanied by two to five people
