,index,User_Id,Timestamp_Start,Timestamp_Stop,Collision,Feedback
0,0,1,1533196413628,1533196811124,Col_off,FB_on
1,1,1,1533197558007,1533198185511,Col_off,FB_off
2,2,1,1533199242434,1533199788762,Col_on,FB_on
3,3,1,1533200233312,1533200722837,Col_on,FB_off
0,0,2,1533202222867,1533202571735,Col_off,FB_on
1,1,2,1533203493941,1533203797593,Col_off,FB_off
2,2,2,1533204261603,1533204539689,Col_on,FB_off
3,3,2,1533205092664,1533205317015,Col_on,FB_on
0,0,3,1533212142507,1533212564570,Col_off,FB_on
1,1,3,1533212142507,1533212629910,Col_on,FB_on
2,2,3,1533214944992,1533215353474,Col_off,FB_off
3,3,3,1533215946137,1533216348484,Col_on,FB_off
0,0,4,1533219987062,1533220328573,Col_off,FB_on
1,1,4,1533222056879,1533222440520,Col_on,FB_on
2,2,4,1533223359398,1533223739079,Col_on,FB_off
3,3,4,1533224854784,1533225215498,Col_off,FB_off
0,0,5,1533643943809,1533644433682,Col_off,FB_on
1,1,5,1533645739350,1533646105413,Col_on,FB_off
2,2,5,1533647340889,1533647732932,Col_off,FB_off
3,3,5,1533648578253,1533648895375,Col_on,FB_on
0,0,6,1533732854141,1533733240859,Col_off,FB_on
1,1,6,1533734166796,1533734658411,Col_on,FB_off
2,2,6,1533735478905,1533735994036,Col_on,FB_on
3,3,6,1533736721092,1533737242900,Col_off,FB_off
0,0,7,1533823784251,1533824128387,Col_off,FB_off
1,1,7,1533824807591,1533825272958,Col_off,FB_on
2,2,7,1533825587710,1533825926196,Col_on,FB_on
3,3,7,1533826259867,1533826691784,Col_on,FB_off
0,0,8,1534161965498,1534162445761,Col_off,FB_off
1,1,8,1534163617819,1534164042181,Col_off,FB_on
2,2,8,1534164838923,1534165228805,Col_on,FB_off
3,3,8,1534166093925,1534166480772,Col_on,FB_on
0,0,9,1534172441770,1534173094212,Col_off,FB_off
1,1,9,1534173644968,1534174055714,Col_on,FB_on
2,2,9,1534174412821,1534174897839,Col_off,FB_on
3,3,9,1534176305317,1534176684408,Col_on,FB_off
0,0,10,1534240540758,1534241078201,Col_off,FB_off
1,1,10,1534243053718,1534243490072,Col_on,FB_on
2,2,10,1534244745087,1534245219075,Col_on,FB_off
3,3,10,1534245806037,1534246213558,Col_off,FB_on
0,0,11,1534320286297,1534320720787,Col_off,FB_off
1,1,11,1534321520981,1534321897787,Col_on,FB_off
2,2,11,1534322405978,1534322749664,Col_off,FB_on
3,3,11,1534323599391,1534323935269,Col_on,FB_on
0,0,12,1534332572768,1534333113940,Col_off,FB_off
1,1,12,1534335718095,1534336141490,Col_on,FB_off
2,2,12,1534336960294,1534337341344,Col_on,FB_on
3,3,12,1534338186851,1534338691280,Col_off,FB_on
0,0,13,1534867081707,1534867320393,Col_on,FB_on
1,1,13,1534868317837,1534868591942,Col_off,FB_on
2,2,13,1534869327687,1534869626432,Col_off,FB_off
3,3,13,1534870521006,1534870820001,Col_on,FB_off
0,0,14,1534928845068,1534929193420,Col_on,FB_on
1,1,14,1534930076864,1534930369590,Col_off,FB_on
2,2,14,1534930948055,1534931216025,Col_on,FB_off
3,3,14,1534931649119,1534931952157,Col_off,FB_off
0,0,15,1535013528785,1535013998924,Col_on,FB_on
1,1,15,1535016425462,1535016812822,Col_off,FB_off
2,2,15,1535017633004,1535017954012,Col_off,FB_on
3,3,15,1535018485192,1535018778011,Col_on,FB_off
0,0,16,1535026107021,1535026381168,Col_on,FB_on
1,1,16,1535027180654,1535027494581,Col_off,FB_off
2,2,16,1535028047220,1535028357167,Col_on,FB_off
3,3,16,1535028659513,1535029045217,Col_off,FB_on
0,0,17,1535101346067,1535101774121,Col_on,FB_on
1,1,17,1535103311375,1535103662957,Col_on,FB_off
2,2,17,1535104468755,1535105361445,Col_off,FB_on
3,3,17,1535105413728,1535105649240,Col_off,FB_off
0,0,18,1537951117783,1537951358329,Col_on,FB_on
1,1,18,1537952042038,1537952384609,Col_on,FB_off
2,2,18,1537952915978,1537953208626,Col_off,FB_off
3,3,18,1537953930061,1537954162123,Col_off,FB_on
0,0,19,1538040008234,1538040350665,Col_on,FB_off
1,1,19,1538041864771,1538042206604,Col_off,FB_on
2,2,19,1538043100538,1538043393605,Col_off,FB_off
3,3,19,1538044029905,1538044280150,Col_on,FB_on
0,0,20,1538648888466,1538649289266,Col_on,FB_off
1,1,20,1538649748819,1538650082502,Col_off,FB_on
2,2,20,1538651809097,1538652120407,Col_on,FB_on
3,3,20,1538653000623,1538653330062,Col_off,FB_off
0,0,21,1538989572429,1538989832528,Col_on,FB_off
1,1,21,1538990673801,1538990911832,Col_off,FB_off
2,2,21,1538991581280,1538991833544,Col_off,FB_on
3,3,21,1538992337250,1538992564665,Col_on,FB_on
0,0,22,1539088865945,1539089118296,Col_on,FB_off
1,1,22,1539090949917,1539091197167,Col_off,FB_off
2,2,22,1539092023264,1539092369559,Col_on,FB_on
3,3,22,1539092931860,1539093165558,Col_off,FB_on
0,0,23,1539851122772,1539851500703,Col_on,FB_off
1,1,23,1539852626210,1539852946600,Col_on,FB_on
2,2,23,1539853704512,1539854015482,Col_off,FB_on
3,3,23,1539854931592,1539855263033,Col_off,FB_off
0,0,24,1539856325753,1539856683030,Col_on,FB_off
1,1,24,1539857570027,1539857868098,Col_on,FB_on
2,2,24,1539858463035,1539858707002,Col_off,FB_off
3,3,24,1539859160795,1539859435026,Col_off,FB_on
