Zeitstempel,Participant,Collision,Feedback,The people's behavior influenced my style of presentation. ,The people's behavior had an influence on my mood.,I reacted to the people's behavior.,I was easily distracted by the people.,Sometimes the people were influenced by my mood.,Sometimes the people were influenced by my style of presentation.,The people reacted to my actions.,I was able to interpret the people's reactions.,I had the feeling to interact with other human beings.,I felt connected to the other people.,I had the feeling that I was able to interact with people in the virtual room.,I had the impression that the audience noticed me in the virtual room.,I was aware that other people were with me in the virtual room.,I had the feeling that I perceived other people in the virtual room.,I felt alone in the virtual environment.
2018/08/02 10:21:44 AM OEZ,1,Col_off,FB_on,4,3,3,2,7,4,3,7,7,6,7,1,1,4,7
2018/08/02 10:33:20 AM OEZ,1,Col_off,FB_off,3,2,6,5,7,7,7,7,7,7,7,6,1,4,7
2018/08/02 10:51:31 AM OEZ,1,Col_on,FB_on,1,1,1,3,7,3,3,3,3,7,3,4,1,3,7
2018/08/02 11:08:54 AM OEZ,1,Col_on,FB_off,1,1,1,7,4,1,2,1,1,7,2,2,1,4,7
2018/08/02 11:41:50 AM OEZ,2,Col_off,FB_on,6,2,6,6,6,6,6,5,2,3,4,2,2,2,6
2018/08/02 11:59:25 AM OEZ,2,Col_off,FB_off,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2
2018/08/02 12:11:28 PM OEZ,2,Col_on,FB_off,3,2,2,2,2,2,3,4,1,2,3,2,1,2,6
2018/08/02 12:23:38 PM OEZ,2,Col_on,FB_on,1,1,1,2,2,2,2,5,1,1,1,1,1,2,7
2018/08/02 2:29:43 PM OEZ,3,Col_off,FB_on,5,5,3,3,3,4,3,4,3,5,4,4,3,3,5
2018/08/02 2:55:24 PM OEZ,3,Col_on,FB_on,2,3,2,2,3,3,3,2,2,3,2,3,3,3,5
2018/08/02 3:11:04 PM OEZ,3,Col_off,FB_off,1,2,1,2,1,1,2,2,3,3,3,6,4,2,6
2018/08/02 3:27:51 PM OEZ,3,Col_on,FB_off,3,4,3,2,3,3,1,2,2,2,2,2,3,2,2
2018/08/02 4:51:39 PM OEZ,4,Col_off,FB_on,2,3,3,3,6,5,6,6,5,3,3,3,1,2,5
2018/08/02 5:11:55 PM OEZ,4,Col_on,FB_on,3,3,6,4,7,5,6,6,3,2,3,4,2,2,6
2018/08/02 5:37:46 PM OEZ,4,Col_on,FB_off,5,6,5,3,6,6,6,6,3,3,3,3,2,2,7
2018/08/02 5:59:13 PM OEZ,4,Col_off,FB_off,4,3,5,3,6,6,6,6,3,3,3,3,2,2,6
2018/08/07 2:32:22 PM OEZ,5,Col_off,FB_on,6,7,6,6,7,6,7,6,7,7,7,6,6,2,6
2018/08/07 3:03:17 PM OEZ,5,Col_on,FB_off,3,3,1,3,6,7,7,6,3,5,5,5,3,2,7
2018/08/07 3:22:47 PM OEZ,5,Col_off,FB_off,5,6,6,5,6,6,7,6,3,5,3,6,3,3,7
2018/08/07 3:44:30 PM OEZ,5,Col_on,FB_on,3,3,3,6,3,7,7,6,3,3,2,6,3,2,7
2018/08/08 3:10:43 PM OEZ,6,Col_off,FB_on,4,3,6,1,5,4,6,7,2,3,6,3,1,3,7
2018/08/08 3:32:09 PM OEZ,6,Col_on,FB_off,4,3,2,5,6,4,3,2,3,3,3,2,3,3,6
2018/08/08 3:52:33 PM OEZ,6,Col_on,FB_on,4,3,3,3,5,4,3,3,2,3,2,3,2,3,6
2018/08/08 4:12:45 PM OEZ,6,Col_off,FB_off,4,3,5,3,3,4,3,3,3,3,3,4,3,3,6
2018/08/09 4:22:42 PM OEZ,7,Col_off,FB_off,2,2,1,3,4,4,3,6,6,6,5,5,3,5,3
2018/08/09 4:36:34 PM OEZ,7,Col_off,FB_on,2,1,1,2,4,4,3,3,3,6,6,4,4,5,5
2018/08/09 4:48:59 PM OEZ,7,Col_on,FB_on,3,2,1,2,4,4,3,4,4,5,4,3,3,4,5
2018/08/09 5:01:03 PM OEZ,7,Col_on,FB_off,2,2,1,1,4,4,3,4,3,4,3,4,3,4,5
2018/08/13 2:26:51 PM OEZ,8,Col_off,FB_off,2,1,2,2,4,4,4,4,6,5,4,5,1,3,7
2018/08/13 2:52:40 PM OEZ,8,Col_off,FB_on,3,2,3,2,6,4,4,6,4,4,6,5,4,4,3
2018/08/13 3:05:43 PM OEZ,8,Col_on,FB_off,3,3,3,2,4,4,5,4,3,3,2,4,3,3,6
2018/08/13 3:25:59 PM OEZ,8,Col_on,FB_on,3,1,2,1,4,4,4,4,2,3,2,4,2,3,6
