Zeitstempel,Participant,Collision,Feedback,1. How much were you able to control events?,2. How responsive was the environment to actions that you initiated (or performed)?,3. How natural did your interactions with the environment seem?,4. How much did the visual aspects of the environment involve you?,5. How natural was the mechanism which controlled movement through the environment? ,6. How compelling was your sense of objects moving through space?,7. How much did your experiences in the virtual environment seem consistent with your real-world experiences?,8. Were you able to anticipate what would happen next in response to the actions that you performed? ,9. How completely were you able to actively survey or search the environment using vision?,10. How compelling was your sense of moving around inside the virtual environment?,11. How closely were you able to examine objects?,12. How well could you examine objects from multiple viewpoints?,13. How involved were you in the virtual environment experience? ,14. How much delay did you experience between your actions and expected outcomes?,15. How quickly did you adjust to the virtual environment experience?,16. How proficient in moving and interacting with the virtual environment did you feel at the end of the experience?,17. How much did the visual display quality interfere or distract you from performing assigned tasks or required activities?,18. How much did the control devices interfere with the performance of assigned tasks or with other activities?,19. How well could you concentrate on the assigned tasks or required activities rather than on the mechanisms used to perform those tasks or activities?,20. How much did the auditory aspects of the environment involve you? ,21. How well could you identify sounds?,22. How well could you localize sounds? ,23. How well could you actively survey or search the virtual environment using touch? ,24. How well could you move or manipulate objects in the virtual environment?,
,1,Col_off,FB_on,7,4,4,6,2,4,3,6,6,5,5,1,5,2,7,4,1,4,7,4,7,6,6,4,
,1,Col_off,FB_off,6,5,5,5,3,4,4,4,6,6,7,1,5,2,6,4,3,6,6,3,7,4,2,6,
,1,Col_on,FB_on,6,6,5,5,3,5,4,5,5,4,7,1,6,3,6,4,4,4,6,2,2,1,5,6,
,1,Col_on,FB_off,6,5,5,3,3,5,2,5,6,6,7,1,5,1,6,4,5,2,5,1,1,1,6,5,
,2,Col_off,FB_on,7,6,5,6,5,6,5,6,7,6,6,6,7,2,7,2,3,6,6,4,3,3,4,2,
,2,Col_off,FB_off,6,6,5,6,6,6,6,6,6,6,6,6,5,3,7,6,6,6,6,3,2,2,6,6,
,2,Col_on,FB_off,6,7,7,6,7,7,7,6,6,7,7,6,7,2,7,7,6,6,6,2,1,1,6,5,
,2,Col_on,FB_on,7,7,7,7,7,6,7,7,6,6,7,6,7,2,7,7,6,7,6,6,6,6,6,5,
,3,Col_off,FB_on,7,6,5,6,6,5,6,6,6,6,5,6,6,6,6,7,6,6,5,5,6,6,5,4,
,3,Col_on,FB_on,5,4,5,5,5,4,5,6,5,4,5,5,6,1,5,6,5,5,5,5,6,6,4,5,
,3,Col_off,FB_off,5,4,6,6,6,4,6,4,6,5,6,4,6,1,6,7,7,6,7,1,1,1,6,6,
,3,Col_on,FB_off,7,6,6,6,7,5,6,6,5,6,6,5,5,1,6,6,6,6,6,5,2,2,3,3,
,4,Col_off,FB_on,6,6,4,4,4,4,4,6,6,5,6,6,5,1,6,7,1,2,7,4,5,5,2,3,
,4,Col_on,FB_on,6,6,4,4,4,4,5,6,6,5,6,6,4,1,7,7,2,2,7,6,6,6,1,4,
,4,Col_on,FB_off,6,6,5,5,5,5,5,7,6,3,5,6,4,1,7,7,2,3,6,1,1,1,1,4,
,4,Col_off,FB_off,6,7,4,4,4,4,3,6,6,5,6,6,4,1,7,7,2,2,6,1,1,1,1,1,
,5,Col_off,FB_on,5,6,6,6,3,5,4,3,5,6,7,5,6,2,5,5,3,2,6,2,2,1,5,1,
,5,Col_on,FB_off,6,6,5,6,4,5,5,4,5,6,7,5,6,2,6,6,3,3,6,2,2,1,4,2, 
,5,Col_off,FB_off,6,6,5,5,5,6,5,6,6,6,7,5,6,2,5,6,2,5,6,2,1,2,6,3,
,5,Col_on,FB_on,6,6,5,6,6,6,5,6,6,6,6,5,6,2,6,6,5,3,3,2,5,2,5,6,
,6,Col_off,FB_on,6,5,4,6,2,5,1,4,6,5,5,6,6,1,6,7,6,4,6,2,7,2,1,2,
,6,Col_on,FB_off,6,6,5,6,2,5,6,6,6,5,5,6,4,1,6,7,2,6,5,2,4,4,1,2,
,6,Col_on,FB_on,6,5,6,6,2,5,5,6,6,5,5,6,5,1,7,7,2,2,6,4,6,2,1,3,
,6,Col_off,FB_off,6,5,4,5,2,5,2,6,6,6,5,6,5,1,7,7,2,4,6,4,4,4,1,3,
,7,Col_off,FB_off,5,6,2,4,3,4,4,3,6,5,6,5,4,5,7,4,4,5,6,2,4,3,1,2,
,7,Col_off,FB_on,5,6,4,4,2,4,3,4,6,5,5,4,4,2,7,4,1,3,5,4,3,5,1,2,
,7,Col_on,FB_on,5,5,4,4,2,4,5,4,5,4,3,4,4,2,7,4,2,2,5,4,4,4,1,1,
,7,Col_on,FB_off,4,5,3,3,2,4,3,4,4,4,5,2,5,2,7,4,3,2,5,2,2,2,2,1,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
