Zeitstempel,Participant,Collision,Feedback,1. The people's behavior influenced my style of presentation. ,2. The people's behavior had an influence on my mood.,3. I reacted to the people's behavior.,4.I was easily distracted by the people.,5. Sometimes the people were influenced by my mood.,6. Sometimes the people were influenced by my style of presentation.,7. The people reacted to my actions.,8. I was able to interpret the people's reactions.,9. I had the feeling to interact with other human beings.,10. I felt connected to the other people.,11. I had the feeling that I was able to interact with people in the virtual room.,12. I had the impression that the audience noticed me in the virtual room.,13. I was aware that other people were with me in the virtual room.,14. I had the feeling that I perceived other people in the virtual room.,15. I felt alone in the virtual environment.,,,Subscale 1 Score,Subscale 2 Score,Subscale 3 Score,Subscale 4 Score,Total Score
2018/08/02 10:21:44 AM OEZ,1,Col_off,FB_on,4,5,5,6,1,4,5,1,1,2,1,7,7,4,1,,,20,11,11,12,54
2018/08/02 10:33:20 AM OEZ,1,Col_off,FB_off,5,6,2,3,1,1,1,1,1,1,1,2,7,4,1,,,16,4,5,12,37
2018/08/02 10:51:31 AM OEZ,1,Col_on,FB_on,7,7,7,5,1,5,5,5,5,1,5,4,7,5,1,,,26,16,15,13,70
2018/08/02 11:08:54 AM OEZ,1,Col_on,FB_off,7,7,7,1,4,7,6,7,7,1,6,6,7,4,1,,,22,24,20,12,78
2018/08/02 11:41:50 AM OEZ,2,Col_off,FB_on,2,6,2,2,2,2,2,3,6,5,4,6,6,6,2,,,12,9,21,14,56
2018/08/02 11:59:25 AM OEZ,2,Col_off,FB_off,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,,,4,4,4,8,20
2018/08/02 12:11:28 PM OEZ,2,Col_on,FB_off,5,6,6,6,6,6,5,4,7,6,5,6,7,6,2,,,23,21,24,15,83
2018/08/02 12:23:38 PM OEZ,2,Col_on,FB_on,7,7,7,6,6,6,6,3,7,7,7,7,7,6,1,,,27,21,28,14,90
2018/08/02 2:29:43 PM OEZ,3,Col_off,FB_on,3,3,5,5,5,4,5,4,5,3,4,4,5,5,3,,,16,18,16,13,63
2018/08/02 2:55:24 PM OEZ,3,Col_on,FB_on,6,5,6,6,5,5,5,6,6,5,6,5,5,5,3,,,23,21,22,13,79
2018/08/02 3:11:04 PM OEZ,3,Col_off,FB_off,7,6,7,6,7,7,6,6,5,5,5,2,4,6,2,,,26,26,17,12,81
2018/08/02 3:27:51 PM OEZ,3,Col_on,FB_off,5,4,5,6,5,5,7,6,6,6,6,6,5,6,6,,,20,23,24,17,84
2018/08/02 4:51:39 PM OEZ,4,Col_off,FB_on,6,5,5,5,2,3,2,2,3,5,5,5,7,6,3,,,21,9,18,16,64
2018/08/02 5:11:55 PM OEZ,4,Col_on,FB_on,5,5,2,4,1,3,2,2,5,6,5,4,6,6,2,,,16,8,20,14,58
