Zeitstempel,Participant,Collision,Feedback,Subscale 1 Score,Subscale 2 Score,Subscale 3 Score,Subscale 4 Score,Total Score
2018/08/02 10:21:44 AM OEZ,1,Col_off,FB_on,20,11,11,12,54
2018/08/02 10:33:20 AM OEZ,1,Col_off,FB_off,16,4,5,12,37
2018/08/02 10:51:31 AM OEZ,1,Col_on,FB_on,26,16,15,13,70
2018/08/02 11:08:54 AM OEZ,1,Col_on,FB_off,22,24,20,12,78
2018/08/02 11:41:50 AM OEZ,2,Col_off,FB_on,12,9,21,14,56
2018/08/02 11:59:25 AM OEZ,2,Col_off,FB_off,4,4,4,8,20
2018/08/02 12:11:28 PM OEZ,2,Col_on,FB_off,23,21,24,15,83
2018/08/02 12:23:38 PM OEZ,2,Col_on,FB_on,27,21,28,14,90
2018/08/02 2:29:43 PM OEZ,3,Col_off,FB_on,16,18,16,13,63
2018/08/02 2:55:24 PM OEZ,3,Col_on,FB_on,23,21,22,13,79
2018/08/02 3:11:04 PM OEZ,3,Col_off,FB_off,26,26,17,12,81
2018/08/02 3:27:51 PM OEZ,3,Col_on,FB_off,20,23,24,17,84
2018/08/02 4:51:39 PM OEZ,4,Col_off,FB_on,21,9,18,16,64
2018/08/02 5:11:55 PM OEZ,4,Col_on,FB_on,16,8,20,14,58
2018/08/02 5:37:46 PM OEZ,4,Col_on,FB_off,13,8,20,13,54
2018/08/02 5:59:13 PM OEZ,4,Col_off,FB_off,17,8,20,14,59
2018/08/07 2:32:22 PM OEZ,5,Col_off,FB_on,7,6,5,10,28
2018/08/07 3:03:17 PM OEZ,5,Col_on,FB_off,22,6,14,12,54
2018/08/07 3:22:47 PM OEZ,5,Col_off,FB_off,10,7,15,11,43
2018/08/07 3:44:30 PM OEZ,5,Col_on,FB_on,17,9,18,12,56
2018/08/08 3:10:43 PM OEZ,6,Col_off,FB_on,18,10,18,13,59
2018/08/08 3:32:09 PM OEZ,6,Col_on,FB_off,18,17,21,12,68
2018/08/08 3:52:33 PM OEZ,6,Col_on,FB_on,19,17,22,13,71
2018/08/08 4:12:45 PM OEZ,6,Col_off,FB_off,17,19,19,12,67
2018/08/09 4:22:42 PM OEZ,7,Col_off,FB_off,24,15,10,13,62
2018/08/09 4:36:34 PM OEZ,7,Col_off,FB_on,26,18,13,10,67
2018/08/09 4:48:59 PM OEZ,7,Col_on,FB_on,24,17,16,12,69
2018/08/09 5:01:03 PM OEZ,7,Col_on,FB_off,26,17,18,12,73
