Participant,Collision,Feedback,Involvement,Sensory fidelity,Adaptation/immersion,Interface quality,"Total PQ Score (without 26,27,28)"
1,Col_off,FB_on,55,30,43,17,145
1,Col_off,FB_off,55,16,34,13,118
1,Col_on,FB_on,59,26,36,13,134
1,Col_on,FB_off,52,13,37,16,118
2,Col_off,FB_on,66,26,38,13,143
2,Col_off,FB_off,65,25,43,14,147
2,Col_on,FB_off,73,23,47,16,159
2,Col_on,FB_on,77,37,48,16,178
3,Col_off,FB_on,66,33,42,6,147
3,Col_on,FB_on,58,31,37,13,139
3,Col_off,FB_off,61,19,40,10,130
3,Col_on,FB_off,63,23,39,11,136
4,Col_off,FB_on,54,28,43,20,145
4,Col_on,FB_on,58,31,42,19,150
4,Col_on,FB_off,55,15,42,18,130
4,Col_off,FB_off,49,16,39,19,123
5,Col_off,FB_on,56,22,35,17,130
5,Col_on,FB_off,58,21,39,16,134
5,Col_off,FB_off,60,22,39,15,136
5,Col_on,FB_on,68,25,40,14,147
6,Col_off,FB_on,51,23,37,13,124
6,Col_on,FB_off,55,16,38,15,124
6,Col_on,FB_on,59,24,43,19,145
6,Col_off,FB_off,50,18,39,17,124
7,Col_off,FB_off,48,16,33,10,107
7,Col_off,FB_on,54,22,35,18,129
7,Col_on,FB_on,51,20,36,18,125
7,Col_on,FB_off,42,15,34,17,108
8,Col_off,FB_off,54,22,45,19,140
8,Col_off,FB_on,58,34,48,18,158
8,Col_on,FB_off,65,22,47,16,150
8,Col_on,FB_on,67,33,48,16,164
9,Col_off,FB_off,58,21,39,13,131
9,Col_on,FB_on,67,36,43,13,159
9,Col_off,FB_on,63,36,40,12,151
9,Col_on,FB_off,61,20,41,6,128
10,Col_off,FB_off,56,15,35,14,120
10,Col_on,FB_on,61,34,39,13,147
10,Col_on,FB_off,59,14,42,17,132
10,Col_off,FB_on,70,30,46,17,163
11,Col_off,FB_off,47,14,33,15,109
11,Col_on,FB_off,44,14,35,14,107
11,Col_off,FB_on,46,29,38,14,127
11,Col_on,FB_on,49,29,39,14,131
12,Col_off,FB_off,65,30,45,20,160
12,Col_on,FB_off,67,30,46,21,164
12,Col_on,FB_on,70,30,47,21,168
12,Col_off,FB_on,70,38,50,21,179
13,Col_on,FB_on,68,35,47,20,170
13,Col_off,FB_on,67,31,49,21,168
13,Col_off,FB_off,56,18,42,17,133
13,Col_on,FB_off,57,19,44,21,141
14,Col_on,FB_on,56,26,38,16,136
14,Col_off,FB_on,60,30,40,16,146
14,Col_on,FB_off,60,28,38,15,141
14,Col_off,FB_off,54,27,40,15,136
15,Col_on,FB_on,61,34,41,13,149
15,Col_off,FB_off,51,37,32,13,133
15,Col_off,FB_on,45,33,33,10,121
15,Col_on,FB_off,47,26,34,13,120
16,Col_on,FB_on,66,28,45,17,156
16,Col_off,FB_off,45,17,37,18,117
16,Col_on,FB_off,56,11,41,13,121
16,Col_off,FB_on,59,33,44,16,152
17,Col_on,FB_on,68,39,47,15,169
17,Col_on,FB_off,66,16,46,19,147
17,Col_off,FB_on,71,38,52,21,182
17,Col_off,FB_off,57,18,47,21,143
18,Col_on,FB_on,61,33,38,16,148
18,Col_on,FB_off,47,33,37,15,132
18,Col_off,FB_off,42,32,38,16,128
18,Col_off,FB_on,47,32,38,16,133
19,Col_on,FB_off,56,28,41,14,139
19,Col_off,FB_on,56,36,40,11,143
19,Col_off,FB_off,61,28,42,13,144
19,Col_on,FB_on,60,30,43,13,146
20,Col_on,FB_off,58,17,35,14,124
20,Col_off,FB_on,58,31,41,14,144
20,Col_on,FB_on,54,33,41,15,143
20,Col_off,FB_off,44,15,35,18,112
21,Col_on,FB_off,50,18,39,15,122
21,Col_off,FB_off,50,17,35,15,117
21,Col_off,FB_on,46,23,29,12,110
21,Col_on,FB_on,57,29,35,13,134
22,Col_on,FB_off,51,16,40,19,126
22,Col_off,FB_off,50,20,40,18,128
22,Col_on,FB_on,63,22,41,17,143
22,Col_off,FB_on,52,26,41,19,138
23,Col_on,FB_off,64,18,47,20,149
23,Col_on,FB_on,62,41,45,19,167
23,Col_off,FB_on,68,35,47,20,170
23,Col_off,FB_off,63,18,44,21,146
24,Col_on,FB_off,48,15,37,19,119
24,Col_on,FB_on,53,29,43,19,144
24,Col_off,FB_off,55,15,36,16,122
24,Col_off,FB_on,55,27,41,15,138
