pairs,environment,average
47-48,Virtual,1.454448005
45-46,Virtual,1.588044537
43-44,Virtual,1.021722429
41-42,Virtual,0.989749876
39-40,Virtual,1.335973093
37-38,Virtual,0.95188845
35-36,Virtual,1.292047864
33-34,Virtual,1.043402194
31-32,Virtual,1.380580649
29-30,Virtual,1.046712961
27-28,Virtual,0.971421153
25-26,Virtual,0.80854872
47-48,Real,0.892983318
45-46,Real,1.748122895
43-44,Real,0.935374768
41-42,Real,0.858505571
39-40,Real,1.117581744
37-38,Real,0.628498938
35-36,Real,1.23075681
33-34,Real,0.973104717
31-32,Real,1.408083182
29-30,Real,0.775358364
27-28,Real,0.783653245
25-26,Real,0.971319792
