ParticipantID,Scene,Canvas,Helpful,LikeToUse
1,Closed,Head-up Display,6,5
1,Closed,On-Body,5,5
1,Closed,In-Situ,5,2
1,Closed,Floating,5,3
2,Open,Head-up Display,6,2
2,Open,On-Body,6,5
2,Open,In-Situ,5,1
2,Open,Floating,6,5
3,Spaceship,Head-up Display,2,1
3,Spaceship,On-Body,5,5
3,Spaceship,In-Situ,5,1
3,Spaceship,Floating,5,5
4,Spaceship,In-Situ,7,6
4,Spaceship,Head-up Display,6,1
4,Spaceship,Floating,6,6
4,Spaceship,On-Body,6,5
5,Closed,In-Situ,6,6
5,Closed,Head-up Display,6,2
5,Closed,Floating,6,6
5,Closed,On-Body,6,6
6,Closed,On-Body,6,6
6,Closed,Floating,6,4
6,Closed,Head-up Display,5,2
6,Closed,In-Situ,5,2
7,Open,On-Body,2,5
7,Open,Floating,1,6
7,Open,Head-up Display,4,4
7,Open,In-Situ,4,2
10,Spaceship,On-Body,4,6
10,Spaceship,Floating,3,2
10,Spaceship,Head-up Display,2,4
10,Spaceship,In-Situ,2,4
8,Open,Floating,6,5
8,Open,In-Situ,7,2
8,Open,On-Body,7,2
8,Open,Head-up Display,6,1
9,Open,In-Situ,6,5
9,Open,Head-up Display,6,1
9,Open,Floating,6,6
9,Open,On-Body,6,2
11,Closed,Floating,7,4
11,Closed,In-Situ,1,1
11,Closed,On-Body,6,5
11,Closed,Head-up Display,5,1
12,Spaceship,Floating,5,3
12,Spaceship,In-Situ,2,2
12,Spaceship,On-Body,5,1
12,Spaceship,Head-up Display,5,1
13,Closed,Head-up Display,7,6
13,Closed,On-Body,7,7
13,Closed,In-Situ,6,1
13,Closed,Floating,2,1
14,Open,Head-up Display,4,3
14,Open,On-Body,5,4
14,Open,In-Situ,5,1
14,Open,Floating,6,5
15,Spaceship,Head-up Display,7,3
15,Spaceship,On-Body,6,7
15,Spaceship,In-Situ,7,2
15,Spaceship,Floating,7,1
16,Closed,On-Body,5,5
16,Closed,Floating,7,5
16,Closed,Head-up Display,7,5
16,Closed,In-Situ,6,5
17,Open,On-Body,5,5
17,Open,Floating,4,5
17,Open,Head-up Display,6,6
17,Open,In-Situ,5,6
18,Closed,Floating,6,5
18,Closed,In-Situ,6,5
18,Closed,On-Body,5,5
18,Closed,Head-up Display,5,4
19,Spaceship,On-Body,7,3
19,Spaceship,Floating,7,5
19,Spaceship,Head-up Display,6,2
19,Spaceship,In-Situ,7,1
20,Closed,In-Situ,5,5
20,Closed,Head-up Display,6,3
20,Closed,Floating,6,7
20,Closed,On-Body,5,3
22,Spaceship,Floating,7,7
22,Spaceship,In-Situ,7,7
22,Spaceship,On-Body,7,1
22,Spaceship,Head-up Display,7,1
23,Spaceship,In-Situ,5,5
23,Spaceship,Head-up Display,2,2
23,Spaceship,Floating,2,6
23,Spaceship,On-Body,3,6
24,Open,Floating,4,6
24,Open,In-Situ,5,5
24,Open,On-Body,5,7
24,Open,Head-up Display,6,3
21,Open,In-Situ,5,3
21,Open,Head-up Display,5,2
21,Open,Floating,5,3
21,Open,On-Body,5,2
