ParticipantID,Canvas,Task,Scene,Missed
1,Floating,Gaming,Closed,0
1,Floating,Learning,Closed,3
1,Floating,ProblemSolving,Closed,0
1,Head-up Display,Gaming,Closed,0
1,Head-up Display,Learning,Closed,0
1,Head-up Display,ProblemSolving,Closed,0
1,In-Situ,Gaming,Closed,0
1,In-Situ,Learning,Closed,3
1,In-Situ,ProblemSolving,Closed,4
1,On-Body,Gaming,Closed,0
1,On-Body,Learning,Closed,4
1,On-Body,ProblemSolving,Closed,2
2,Floating,Gaming,Open,0
2,Floating,Learning,Open,3
2,Floating,ProblemSolving,Open,0
2,Head-up Display,Gaming,Open,0
2,Head-up Display,Learning,Open,0
2,Head-up Display,ProblemSolving,Open,0
2,In-Situ,Gaming,Open,0
2,In-Situ,Learning,Open,0
2,In-Situ,ProblemSolving,Open,0
2,On-Body,Gaming,Open,0
2,On-Body,Learning,Open,1
2,On-Body,ProblemSolving,Open,0
3,Floating,Gaming,Semi-Open,1
3,Floating,Learning,Semi-Open,2
3,Floating,ProblemSolving,Semi-Open,0
3,Head-up Display,Gaming,Semi-Open,0
3,Head-up Display,Learning,Semi-Open,0
3,Head-up Display,ProblemSolving,Semi-Open,0
3,In-Situ,Gaming,Semi-Open,0
3,In-Situ,Learning,Semi-Open,0
3,In-Situ,ProblemSolving,Semi-Open,5
3,On-Body,Gaming,Semi-Open,0
3,On-Body,Learning,Semi-Open,3
3,On-Body,ProblemSolving,Semi-Open,1
4,Floating,Gaming,Semi-Open,0
4,Floating,Learning,Semi-Open,2
4,Floating,ProblemSolving,Semi-Open,0
4,Head-up Display,Gaming,Semi-Open,0
4,Head-up Display,Learning,Semi-Open,0
4,Head-up Display,ProblemSolving,Semi-Open,0
4,In-Situ,Gaming,Semi-Open,0
4,In-Situ,Learning,Semi-Open,4
4,In-Situ,ProblemSolving,Semi-Open,3
4,On-Body,Gaming,Semi-Open,0
4,On-Body,Learning,Semi-Open,1
4,On-Body,ProblemSolving,Semi-Open,0
5,Floating,Gaming,Closed,0
5,Floating,Learning,Closed,3
5,Floating,ProblemSolving,Closed,0
