ParticipantID,Canvas,Task,Scene,Distance
1,Floating,Gaming,Closed,9.161875326
1,Floating,Learning,Closed,18.95018638
1,Floating,ProblemSolving,Closed,4.584872737
2,Floating,Gaming,Open,22.55818991
2,Floating,Learning,Open,29.62874272
2,Floating,ProblemSolving,Open,4.445252304
3,Floating,Gaming,Semi-Open,34.19292748
3,Floating,Learning,Semi-Open,29.13152093
3,Floating,ProblemSolving,Semi-Open,9.207729203
4,Floating,Gaming,Semi-Open,40.2653037
4,Floating,Learning,Semi-Open,27.95369637
4,Floating,ProblemSolving,Semi-Open,10.56911964
5,Floating,Gaming,Closed,24.79590855
5,Floating,Learning,Closed,25.69417688
5,Floating,ProblemSolving,Closed,20.41477322
6,Floating,Gaming,Closed,28.6927088
6,Floating,Learning,Closed,36.55370728
6,Floating,ProblemSolving,Closed,11.69038232
7,Floating,Gaming,Open,32.5134351
7,Floating,Learning,Open,12.59461183
7,Floating,ProblemSolving,Open,2.154353109
8,Floating,Gaming,Open,25.9806723
8,Floating,Learning,Open,21.24356875
8,Floating,ProblemSolving,Open,15.32431347
9,Floating,Gaming,Open,24.18466695
9,Floating,Learning,Open,4.828269797
9,Floating,ProblemSolving,Open,5.703788898
10,Floating,Gaming,Semi-Open,57.28349652
10,Floating,Learning,Semi-Open,21.7998031
10,Floating,ProblemSolving,Semi-Open,10.3629964
11,Floating,Gaming,Closed,45.66785389
11,Floating,Learning,Closed,13.71067686
11,Floating,ProblemSolving,Closed,1.368558437
12,Floating,Gaming,Semi-Open,6.584060794
12,Floating,Learning,Semi-Open,9.520394295
12,Floating,ProblemSolving,Semi-Open,4.861149208
13,Floating,Gaming,Closed,20.43282409
13,Floating,Learning,Closed,10.89453093
13,Floating,ProblemSolving,Closed,4.324943291
14,Floating,Gaming,Open,13.86088866
14,Floating,Learning,Open,24.60503322
14,Floating,ProblemSolving,Open,1.58430914
15,Floating,Gaming,Semi-Open,24.83163177
15,Floating,Learning,Semi-Open,14.26827108
15,Floating,ProblemSolving,Semi-Open,9.877845028
16,Floating,Gaming,Closed,18.21375316
16,Floating,Learning,Closed,24.69567467
16,Floating,ProblemSolving,Closed,18.21884089
17,Floating,Gaming,Open,26.60951175
17,Floating,Learning,Open,5.786495581
17,Floating,ProblemSolving,Open,16.8691047
18,Floating,Gaming,Closed,24.99785023
18,Floating,Learning,Closed,8.948558625
18,Floating,ProblemSolving,Closed,5.207727947
19,Floating,Gaming,Semi-Open,21.51234618
19,Floating,Learning,Semi-Open,25.72457852
19,Floating,ProblemSolving,Semi-Open,10.13034521
20,Floating,Gaming,Closed,25.62890946
20,Floating,Learning,Closed,23.6653123
20,Floating,ProblemSolving,Closed,6.127873433
21,Floating,Gaming,Open,33.15570176
21,Floating,Learning,Open,91.08108618
21,Floating,ProblemSolving,Open,15.52074498
22,Floating,Gaming,Semi-Open,41.05482299
22,Floating,Learning,Semi-Open,6.321256293
22,Floating,ProblemSolving,Semi-Open,6.979358633
23,Floating,Gaming,Semi-Open,50.30315893
23,Floating,Learning,Semi-Open,14.42834546
23,Floating,ProblemSolving,Semi-Open,8.055699852
24,Floating,Gaming,Open,17.01352274
24,Floating,Learning,Open,18.10506269
24,Floating,ProblemSolving,Open,5.820690624
1,Head-up Display,Gaming,Closed,0
1,Head-up Display,Learning,Closed,0
1,Head-up Display,ProblemSolving,Closed,0
2,Head-up Display,Gaming,Open,0
2,Head-up Display,Learning,Open,0
2,Head-up Display,ProblemSolving,Open,0
3,Head-up Display,Gaming,Semi-Open,0
3,Head-up Display,Learning,Semi-Open,0
3,Head-up Display,ProblemSolving,Semi-Open,0
4,Head-up Display,Gaming,Semi-Open,0
4,Head-up Display,Learning,Semi-Open,0
4,Head-up Display,ProblemSolving,Semi-Open,0
5,Head-up Display,Gaming,Closed,0
5,Head-up Display,Learning,Closed,0
5,Head-up Display,ProblemSolving,Closed,0
6,Head-up Display,Gaming,Closed,0
6,Head-up Display,Learning,Closed,0
6,Head-up Display,ProblemSolving,Closed,0
7,Head-up Display,Gaming,Open,0
7,Head-up Display,Learning,Open,0
7,Head-up Display,ProblemSolving,Open,0
8,Head-up Display,Gaming,Open,0
8,Head-up Display,Learning,Open,0
8,Head-up Display,ProblemSolving,Open,0
9,Head-up Display,Gaming,Open,0
9,Head-up Display,Learning,Open,0
9,Head-up Display,ProblemSolving,Open,0
10,Head-up Display,Gaming,Semi-Open,0
10,Head-up Display,Learning,Semi-Open,0
10,Head-up Display,ProblemSolving,Semi-Open,0
11,Head-up Display,Gaming,Closed,0
11,Head-up Display,Learning,Closed,0
11,Head-up Display,ProblemSolving,Closed,0
12,Head-up Display,Gaming,Semi-Open,0
12,Head-up Display,Learning,Semi-Open,0
12,Head-up Display,ProblemSolving,Semi-Open,0
13,Head-up Display,Gaming,Closed,0
13,Head-up Display,Learning,Closed,0
13,Head-up Display,ProblemSolving,Closed,0
14,Head-up Display,Gaming,Open,0
14,Head-up Display,Learning,Open,0
14,Head-up Display,ProblemSolving,Open,0
15,Head-up Display,Gaming,Semi-Open,0
15,Head-up Display,Learning,Semi-Open,0
15,Head-up Display,ProblemSolving,Semi-Open,0
16,Head-up Display,Gaming,Closed,0
16,Head-up Display,Learning,Closed,0
16,Head-up Display,ProblemSolving,Closed,0
17,Head-up Display,Gaming,Open,0
17,Head-up Display,Learning,Open,0
17,Head-up Display,ProblemSolving,Open,0
18,Head-up Display,Gaming,Closed,0
18,Head-up Display,Learning,Closed,0
18,Head-up Display,ProblemSolving,Closed,0
19,Head-up Display,Gaming,Semi-Open,0
19,Head-up Display,Learning,Semi-Open,0
19,Head-up Display,ProblemSolving,Semi-Open,0
20,Head-up Display,Gaming,Closed,0
20,Head-up Display,Learning,Closed,0
20,Head-up Display,ProblemSolving,Closed,0
21,Head-up Display,Gaming,Open,0
21,Head-up Display,Learning,Open,0
21,Head-up Display,ProblemSolving,Open,0
22,Head-up Display,Gaming,Semi-Open,0
22,Head-up Display,Learning,Semi-Open,0
22,Head-up Display,ProblemSolving,Semi-Open,0
23,Head-up Display,Gaming,Semi-Open,0
