ParticipantID,Canvas,Task,TCT,Scene
1,Floating,Gaming,7.18324794921875,Closed
2,Floating,Gaming,5.727364929199219,Open
3,Floating,Gaming,7.089135986328126,Semi-Open
4,Floating,Gaming,6.418147998046874,Semi-Open
5,Floating,Gaming,4.095405957031249,Closed
6,Floating,Gaming,7.59847001953125,Closed
7,Floating,Gaming,5.55365595703125,Open
8,Floating,Gaming,4.770389990234376,Open
9,Floating,Gaming,6.6601419921875005,Open
10,Floating,Gaming,5.100539990234376,Semi-Open
11,Floating,Gaming,6.99048798828125,Closed
12,Floating,Gaming,3.4434679687500003,Semi-Open
13,Floating,Gaming,5.621323974609375,Closed
14,Floating,Gaming,3.2188640136718747,Open
15,Floating,Gaming,3.317527978515625,Semi-Open
16,Floating,Gaming,4.5576939941406245,Closed
17,Floating,Gaming,8.736352600097657,Open
18,Floating,Gaming,7.460143994140625,Closed
19,Floating,Gaming,4.050768017578125,Semi-Open
20,Floating,Gaming,6.811527978515625,Closed
21,Floating,Gaming,10.29393193359375,Open
22,Floating,Gaming,6.835477978515624,Semi-Open
23,Floating,Gaming,5.5128900390625,Semi-Open
24,Floating,Gaming,8.439972021484374,Open
1,Floating,Learning,13.920458007812499,Closed
2,Floating,Learning,11.844426025390625,Open
3,Floating,Learning,8.42476796875,Semi-Open
4,Floating,Learning,9.425804052734374,Semi-Open
5,Floating,Learning,10.516768017578125,Closed
6,Floating,Learning,13.262934033203127,Closed
7,Floating,Learning,9.405095947265625,Open
8,Floating,Learning,8.568172021484376,Open
9,Floating,Learning,9.000884033203125,Open
10,Floating,Learning,10.891753955078126,Semi-Open
11,Floating,Learning,13.488024072265626,Closed
12,Floating,Learning,9.354364013671875,Semi-Open
13,Floating,Learning,10.843625927734376,Closed
14,Floating,Learning,8.44792001953125,Open
15,Floating,Learning,7.856372021484374,Semi-Open
16,Floating,Learning,15.124506005859377,Closed
17,Floating,Learning,14.2126359375,Open
18,Floating,Learning,11.23155390625,Closed
19,Floating,Learning,6.6140399902343745,Semi-Open
20,Floating,Learning,12.576423974609375,Closed
21,Floating,Learning,12.824577880859374,Open
22,Floating,Learning,6.971945947265624,Semi-Open
23,Floating,Learning,11.936405908203124,Semi-Open
24,Floating,Learning,12.117680078125,Open
1,Floating,ProblemSolving,5.2716240234375,Closed
2,Floating,ProblemSolving,3.505514111328125,Open
3,Floating,ProblemSolving,5.19048603515625,Semi-Open
4,Floating,ProblemSolving,5.502415966796875,Semi-Open
5,Floating,ProblemSolving,4.121378076171875,Closed
6,Floating,ProblemSolving,6.331527978515625,Closed
7,Floating,ProblemSolving,5.193718017578125,Open
8,Floating,ProblemSolving,3.6770740234374997,Open
9,Floating,ProblemSolving,6.432065966796875,Open
10,Floating,ProblemSolving,6.5592139648437495,Semi-Open
11,Floating,ProblemSolving,11.73037001953125,Closed
12,Floating,ProblemSolving,7.886306005859375,Semi-Open
13,Floating,ProblemSolving,3.6886240234374994,Closed
14,Floating,ProblemSolving,3.0524450073242186,Open
15,Floating,ProblemSolving,3.71897802734375,Semi-Open
16,Floating,ProblemSolving,5.937064013671875,Closed
17,Floating,ProblemSolving,10.678318017578125,Open
18,Floating,ProblemSolving,6.480984033203126,Closed
19,Floating,ProblemSolving,4.257723974609375,Semi-Open
20,Floating,ProblemSolving,9.389046044921875,Closed
21,Floating,ProblemSolving,3.0120240234374998,Open
22,Floating,ProblemSolving,4.3037259765625,Semi-Open
23,Floating,ProblemSolving,7.7639119140625,Semi-Open
24,Floating,ProblemSolving,8.93983203125,Open
1,Head-up Display,Gaming,7.675693994140625,Closed
2,Head-up Display,Gaming,5.65240205078125,Open
3,Head-up Display,Gaming,7.416120019531251,Semi-Open
4,Head-up Display,Gaming,5.66602001953125,Semi-Open
5,Head-up Display,Gaming,5.4716619140625,Closed
6,Head-up Display,Gaming,6.761369970703124,Closed
7,Head-up Display,Gaming,4.79841201171875,Open
8,Head-up Display,Gaming,3.4404739746093744,Open
9,Head-up Display,Gaming,5.98542392578125,Open
10,Head-up Display,Gaming,5.456493994140624,Semi-Open
11,Head-up Display,Gaming,6.457130078125,Closed
12,Head-up Display,Gaming,4.5590339843750005,Semi-Open
13,Head-up Display,Gaming,4.50792001953125,Closed
