pID,Presentation,Interaction,RTLX,IPQ,TCT,Preference,SUS,Error
1,paragraph,edge-fixed,40,48,371.0899012,1,72.5,3
2,paragraph,edge-fixed,35,74,238.8491882,5,77.5,2
3,paragraph,edge-fixed,43,69,116.8643942,6,82.5,1
4,paragraph,edge-fixed,48,75,178.6327331,7,92.5,2
5,paragraph,edge-fixed,43,54,125.2197791,5,87.5,2
6,paragraph,edge-fixed,68,78,285.7845781,6,70,3
7,paragraph,edge-fixed,47,80,266.7291911,5,72.5,1
8,paragraph,edge-fixed,35,81,209.8718859,6,87.5,1
9,paragraph,edge-fixed,6,67,142.0291991,2,92.5,1
10,paragraph,edge-fixed,22,56,108.4455505,7,62.5,1
11,paragraph,edge-fixed,31,69,392.5587182,7,95,1
12,paragraph,edge-fixed,59,60,86.3964594,2,42.5,3
13,paragraph,edge-fixed,59,66,65.9201803,1,75,1
14,paragraph,edge-fixed,20,69,192.7854022,7,80,1
15,paragraph,edge-fixed,27,45,70.0072604,6,92.5,2
16,paragraph,edge-fixed,25,73,101.6628985,4,60,2
17,paragraph,edge-fixed,21,79,141.4733555,4,75,1
18,paragraph,edge-fixed,6,79,88.3945257,7,90,1
1,RSVP,edge-fixed,47,65,181.1217814,1,70,3
2,RSVP,edge-fixed,21,60,129.7307518,3,87.5,1
3,RSVP,edge-fixed,38,69,88.291602,2,70,1
4,RSVP,edge-fixed,50,66,57.6758967,1,92.5,2
5,RSVP,edge-fixed,63,72,160.2039295,2,72.5,2
6,RSVP,edge-fixed,33,63,132.7139757,6,82.5,1
7,RSVP,edge-fixed,31,55,124.6696849,5,70,1
8,RSVP,edge-fixed,56,62,158.8074853,6,90,2
9,RSVP,edge-fixed,9,76,60.8472756,6,97.5,1
10,RSVP,edge-fixed,19,71,86.707932,6,80,1
11,RSVP,edge-fixed,13,72,124.3134097,6,87.5,1
12,RSVP,edge-fixed,55,50,67.1593455,5,57.5,1
13,RSVP,edge-fixed,70,53,56.9382957,7,70,2
14,RSVP,edge-fixed,35,71,141.8955276,6,77.5,1
