---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,Shared-view
SUBJECT ID:,19
TRIAL:,1
TRIAL DATE TIME:,01-14-2020 17:30
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Mental Demand,Performance
Physical Demand vs. Performance,Performance
Effort vs. Physical Demand,Effort
Mental Demand vs. Physical Demand,Mental Demand
Physical Demand vs. Temporal Demand,Temporal Demand
Physical Demand vs. Frustration,Frustration
Performance vs. Temporal Demand,Performance
Frustration vs. Effort,Frustration
Temporal Demand vs. Effort,Effort
Performance vs. Frustration,Performance
Temporal Demand vs. Frustration,Frustration
Temporal Demand vs. Mental Demand,Mental Demand
Frustration vs. Mental Demand,Mental Demand
Mental Demand vs. Effort,Effort
Effort vs. Performance,Performance
