---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-body
SUBJECT ID:,37
TRIAL:,2
TRIAL DATE TIME:,01-15-2020 11:23
---DATA---
PAIRWISE CHOICES, SELECTION
Effort vs. Performance,Performance
Physical Demand vs. Performance,Performance
Frustration vs. Mental Demand,Mental Demand
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Effort,Temporal Demand
Effort vs. Physical Demand,Physical Demand
Performance vs. Temporal Demand,Performance
Physical Demand vs. Frustration,Physical Demand
Physical Demand vs. Temporal Demand,Physical Demand
Performance vs. Mental Demand,Performance
Mental Demand vs. Effort,Mental Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Frustration vs. Effort,Effort
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Frustration,Performance
