---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,26
TRIAL:,3
TRIAL DATE TIME:,01-21-2020 15:38
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Effort,Frustration
Temporal Demand vs. Effort,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Physical Demand vs. Performance,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Performance vs. Temporal Demand,Performance
Mental Demand vs. Effort,Effort
Performance vs. Frustration,Performance
Temporal Demand vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Mental Demand,Performance
Frustration vs. Mental Demand,Frustration
Effort vs. Performance,Performance
Mental Demand vs. Physical Demand,Physical Demand
Effort vs. Physical Demand,Effort
