---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,11
TRIAL:,2
TRIAL DATE TIME:,01-23-2020 17:37
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Frustration,Frustration
Performance vs. Mental Demand,Performance
Effort vs. Performance,Performance
Physical Demand vs. Temporal Demand,Physical Demand
Temporal Demand vs. Mental Demand,Mental Demand
Mental Demand vs. Effort,Effort
Frustration vs. Mental Demand,Frustration
Effort vs. Physical Demand,Physical Demand
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Physical Demand vs. Performance,Performance
Frustration vs. Effort,Effort
Temporal Demand vs. Effort,Effort
Performance vs. Temporal Demand,Performance
Performance vs. Frustration,Performance
