,pid,instruction,distance2D
0,1,verbal,0.04538910715267491
1,2,verbal,0.051527168043290945
2,3,verbal,0.1092065557726842
3,4,verbal,0.03904184202559659
4,5,verbal,0.03193684656472366
5,6,verbal,0.0637294195036402
6,7,verbal,0.059869369782840395
7,8,verbal,0.03646385143496826
8,9,verbal,0.09681718554964056
9,10,verbal,0.07253022163535845
10,11,verbal,0.09534322165077012
11,12,verbal,0.07152937454988186
12,19,shared_view,0.06629239867652208
13,20,shared_view,0.08695191055216472
14,21,shared_view,0.039757729397338216
15,22,shared_view,0.0530897830906997
16,23,shared_view,0.05604802749593322
17,24,shared_view,0.11428594803561082
18,25,shared_view,0.08379392359446566
19,26,shared_view,0.0595506027615903
20,27,shared_view,0.05622166665677837
21,28,shared_view,0.15951072458099377
22,29,shared_view,0.04734678498319377
23,30,shared_view,0.05001148349493559
24,37,shared_body,0.10648104792464833
25,38,shared_body,0.11000886591393479
26,39,shared_body,0.11152365111736876
27,40,shared_body,0.0631191639494672
28,41,shared_body,0.1235459156035094
29,42,shared_body,0.07569055158510127
30,43,shared_body,0.0578824819317397
31,44,shared_body,0.12001583282855252
32,45,shared_body,0.11085255818343316
33,46,shared_body,0.08397773869492806
34,47,shared_body,0.04674219315146526
35,48,shared_body,0.06166654854551251
