UserId;Timestamp;Instruction;Task;T1Start;T1End;T2Start;T2End;FillValue;PressureValue;Paint_CSV;T1Delta;T2Delta;FillDelta;PressureDelta
43;1594823863719;shared_body;oel;1594823832355;1594823863715;1594823843482;1594823857911;100.0;-1.0;;31360;14429;-50.0;
39;1579621907968;shared_body;drehen;1579621854245;1579621907963;1579621866363;1579621906473;-1.0;0.30383390000000005;;53718;40110;;0.19616609999999995
8;1579267927309;verbal;oel;1579267847689;1579267927305;1579267917742;1579267923491;53.99975;-1.0;;79616;5749;-3.999749999999999;
20;1579110943122;shared_view;brush;1579110932127;1579110943117;1579110935927;1579110940894;-1.0;-1.0;PaintConditionData/U20DataPaint.csv;10990;4967;;
5;1579188062726;verbal;brush;1579187989757;1579188062720;1579188045921;1579188060056;-1.0;-1.0;PaintConditionData/U5DataPaint.csv;72963;14135;;
8;1579269139064;verbal;brush;1579269124647;1579269139058;1579269128157;1579269136514;-1.0;-1.0;PaintConditionData/U8DataPaint.csv;14411;8357;;
39;1579621382749;shared_body;brush;1579621364044;1579621382745;1579621376899;1579621380789;-1.0;-1.0;PaintConditionData/U39DataPaint.csv;18701;3890;;
43;1594823063606;shared_body;drehen;1594822993376;1594823063602;1594823006703;1594823059267;-1.0;0.0;;70226;52564;;0.5
43;1594824359661;shared_body;brush;1594824323427;1594824359655;1594824333320;1594824355713;-1.0;-1.0;PaintConditionData/U43DataPaint.csv;36228;22393;;
39;1579622317720;shared_body;oel;1579622284366;1579622317715;1579622295083;1579622314632;49.899809999999995;-1.0;;33349;19549;0.10019000000000489;
20;1579111354184;shared_view;drehen;1579111330792;1579111354180;1579111335091;1579111350856;-1.0;0.5355048000000001;;23388;15765;;-0.035504800000000114
5;1579187016251;verbal;oel;1579186899965;1579187016247;1579187004674;1579187013078;49.39982;-1.0;;116282;8404;0.6001800000000017;
5;1579187625539;verbal;drehen;1579187584619;1579187625535;1579187585200;1579187619367;-1.0;0.2954265;;40916;34167;;0.20457350000000002
20;1579110205463;shared_view;oel;1579110177814;1579110205459;1579110184484;1579110198713;69.9995;-1.0;;27645;14229;-19.999499999999998;
8;1579269627338;verbal;drehen;1579269521914;1579269627333;1579269595387;1579269625886;-1.0;0.46668760000000004;;105419;30499;;0.033312399999999964
3;1579081074592;verbal;oel;1579080991360;1579081074588;1579081054824;1579081071929;54.29974;-1.0;;83228;17105;-4.29974;
45;1599655069255;shared_body;brush;1599655050057;1599655069250;1599655056141;1599655066173;-1.0;-1.0;PaintConditionData/U45DataPaint.csv;19193;10032;;
48;1600343400863;shared_body;oel;1600343377551;1600343400858;1600343380750;1600343397056;63.6996;-1.0;;23307;16306;-13.699599999999997;
45;1599655943244;shared_body;drehen;1599655839092;1599655943240;1599655845810;1599655922562;-1.0;0.5030599;;104148;76752;;-0.0030599000000000043
26;1579617561993;shared_view;drehen;1579617523980;1579617561988;1579617526819;1579617559120;-1.0;0.5001190999999999;;38008;32301;;-0.0001190999999999276
3;1579080495240;verbal;drehen;1579080379552;1579080495236;1579080452101;1579080487623;-1.0;0.4180469;;115684;35522;;0.0819531
26;1579616423885;shared_view;oel;1579616408408;1579616423882;1579616411820;1579616420844;53.89975;-1.0;;15474;9024;-3.8997499999999974;
48;1600342459748;shared_body;drehen;1600342394750;1600342459744;1600342409799;1600342449564;-1.0;0.14064010000000002;;64994;39765;;0.35935989999999995
48;1600343058636;shared_body;brush;1600343048811;1600343058631;1600343050741;1600343056199;-1.0;-1.0;PaintConditionData/U48DataPaint.csv;9820;5458;;
45;1599656349786;shared_body;oel;1599656323312;1599656349781;1599656331839;1599656343199;50.8998;-1.0;;26469;11360;-0.899799999999999;
26;1579616996095;shared_view;brush;1579616975191;1579616996089;1579616977600;1579616993902;-1.0;-1.0;PaintConditionData/U26DataPaint.csv;20898;16302;;
3;1579079728417;verbal;brush;1579079663207;1579079728412;1579079712910;1579079723579;-1.0;-1.0;PaintConditionData/U3DataPaint.csv;65205;10669;;
9;1579599568844;verbal;brush;1579599468241;1579599568840;1579599538627;1579599566040;-1.0;-1.0;PaintConditionData/U9DataPaint.csv;100599;27413;;
21;1579177860549;shared_view;oel;1579177847248;1579177860544;1579177850248;1579177855942;56.39971;-1.0;;13296;5694;-6.399709999999999;
19;1579019283079;shared_view;drehen;1579019217845;1579019283075;1579019220852;1579019280341;-1.0;0.5115942;;65230;59489;;-0.011594199999999999
42;1583402089521;shared_body;brush;1583402076656;1583402089508;1583402079094;1583402087786;-1.0;-1.0;PaintConditionData/U42DataPaint.csv;12852;8692;;
38;1579184605451;shared_body;brush;1579184591763;1579184605446;1579184594111;1579184602957;-1.0;-1.0;PaintConditionData/U38DataPaint.csv;13683;8846;;
38;1579183981706;shared_body;oel;1579183961488;1579183981702;1579183968226;1579183976099;51.99978;-1.0;;20214;7873;-1.9997800000000012;
42;1583401293261;shared_body;drehen;1583401259534;1583401293250;1583401268428;1583401288582;-1.0;0.6021505;;33716;20154;;-0.10215050000000003
19;1579019873868;shared_view;oel;1579019857736;1579019873863;1579019862555;1579019869247;52.49977;-1.0;;16127;6692;-2.499769999999998;
4;1579181407350;verbal;drehen;1579181293298;1579181407345;1579181375482;1579181403324;-1.0;0.505239;;114047;27842;;-0.005238999999999994
9;1579600186042;verbal;drehen;1579599987141;1579600186038;1579600094224;1579600183505;-1.0;0.5013958;;198897;89281;;-0.001395799999999947
21;1579177413253;shared_view;drehen;1579177370366;1579177413248;1579177387636;1579177409471;-1.0;0.4500721;;42882;21835;;0.049927900000000025
4;1579180424660;verbal;brush;1579180346908;1579180424655;1579180409942;1579180422644;-1.0;-1.0;PaintConditionData/U4DataPaint.csv;77747;12702;;
42;1583402676611;shared_body;oel;1583402641100;1583402676606;1583402664597;1583402672744;54.09975;-1.0;;35506;8147;-4.09975;
38;1579185036833;shared_body;drehen;1579185002362;1579185036829;1579185010153;1579185033209;-1.0;0.513119;;34467;23056;;-0.013118999999999992
19;1579020215975;shared_view;brush;1579020183094;1579020215969;1579020203801;1579020213614;-1.0;-1.0;PaintConditionData/U19DataPaint.csv;32875;9813;;
4;1579180987734;verbal;oel;1579180897892;1579180987730;1579180976278;1579180985816;58.89966999999999;-1.0;;89838;9538;-8.899669999999993;
21;1579176629651;shared_view;brush;1579176611771;1579176629646;1579176614667;1579176626291;-1.0;-1.0;PaintConditionData/U21DataPaint.csv;17875;11624;;
9;1579600499412;verbal;oel;1579600401525;1579600499408;1579600478177;1579600493928;57.0997;-1.0;;97883;15751;-7.099699999999999;
44;1599124959863;shared_body;oel;1599124927709;1599124959859;1599124935805;1599124946245;50.3998;-1.0;;32150;10440;-0.39979999999999905;
12;1580300643480;verbal;oel;1580300561659;1580300643475;1580300626174;1580300634559;56.79971;-1.0;;81816;8385;-6.7997099999999975;
2;1579030434478;verbal;drehen;1579030374780;1579030434473;1579030380475;1579030429483;-1.0;0.4938782;;59693;49008;;0.006121800000000011
27;1579696253283;shared_view;oel;1579696232584;1579696253279;1579696239325;1579696247376;56.599709999999995;-1.0;;20695;8051;-6.599709999999995;
44;1599125938535;shared_body;brush;1599125921184;1599125938529;1599125926462;1599125933295;-1.0;-1.0;PaintConditionData/U44DataPaint.csv;17345;6833;;
12;1580300321050;verbal;brush;1580300239786;1580300321045;1580300292401;1580300318956;-1.0;-1.0;PaintConditionData/U12DataPaint.csv;81259;26555;;
2;1579029318960;verbal;brush;1579029234345;1579029318954;1579029288131;1579029309110;-1.0;-1.0;PaintConditionData/U2DataPaint.csv;84609;20979;;
27;1579695093965;shared_view;brush;1579695083117;1579695093961;1579695087304;1579695092206;-1.0;-1.0;PaintConditionData/U27DataPaint.csv;10844;4902;;
27;1579695768498;shared_view;drehen;1579695730599;1579695768493;1579695734338;1579695765831;-1.0;0.5108194;;37894;31493;;-0.010819400000000035
2;1579028634067;verbal;oel;1579028614591;1579028634063;1579028618800;1579028628895;52.49977;-1.0;;19472;10095;-2.499769999999998;
12;1580299508293;verbal;drehen;1580299396306;1580299508290;1580299479611;1580299505622;-1.0;0.41353729999999994;;111984;26011;;0.08646270000000006
44;1599126654368;shared_body;drehen;1599126603193;1599126654363;1599126609829;1599126651551;-1.0;0.46896140000000003;;51170;41722;;0.031038599999999972
7;1579198925343;verbal;brush;1579198862972;1579198925337;1579198914405;1579198923649;-1.0;-1.0;PaintConditionData/U7DataPaint.csv;62365;9244;;
41;1583336655785;shared_body;oel;1583336624167;1583336655782;1583336638574;1583336650256;46.69986;-1.0;;31615;11682;3.300139999999999;
41;1583337561444;shared_body;drehen;1583337510136;1583337561440;1583337512707;1583337553440;-1.0;0.6002152;;51304;40733;;-0.10021519999999995
22;1579196590014;shared_view;drehen;1579196543594;1579196590010;1579196547031;1579196584319;-1.0;0.1673981;;46416;37288;;0.3326019
7;1579198634769;verbal;oel;1579198560018;1579198634765;1579198619245;1579198632362;53.29976;-1.0;;74747;13117;-3.299759999999999;
22;1579194746591;shared_view;brush;1579194729700;1579194746587;1579194740578;1579194743434;-1.0;-1.0;PaintConditionData/U22DataPaint.csv;16887;2856;;
41;1583338084098;shared_body;brush;1583338065938;1583338084092;1583338068914;1583338082047;-1.0;-1.0;PaintConditionData/U41DataPaint.csv;18154;13133;;
22;1579195858057;shared_view;oel;1579195830212;1579195858053;1579195842998;1579195853649;68.79952;-1.0;;27841;10651;-18.79952;
7;1579198015403;verbal;drehen;1579197900582;1579198015399;1579197978724;1579198013066;-1.0;0.4896652;;114817;34342;;0.010334799999999977
30;1579860757157;shared_view;oel;1579860731293;1579860757153;1579860743535;1579860751416;56.599709999999995;-1.0;;25860;7881;-6.599709999999995;
47;1600168796821;shared_body;drehen;1600168773157;1600168796817;1600168778063;1600168792951;-1.0;0.48013370000000005;;23660;14888;;0.019866299999999948
24;1579253426657;shared_view;oel;1579253408114;1579253426652;1579253412411;1579253423327;63.09961;-1.0;;18538;10916;-13.099609999999998;
29;1579800354141;shared_view;drehen;1579800324273;1579800354136;1579800329302;1579800349613;-1.0;0.5476713000000001;;29863;20311;;-0.04767130000000008
29;1579799365203;shared_view;oel;1579799348217;1579799365200;1579799352744;1579799361395;53.59975;-1.0;;16983;8651;-3.5997500000000002;
1;1579025780032;verbal;brush;1579025705284;1579025780027;1579025752726;1579025761606;-1.0;-1.0;PaintConditionData/U1DataPaint.csv;74743;8880;;
